read2_code,icd10_code,phecode
F4H52,H47.4,377.0
F4H6z,H47.7,377.0
F4H73,H47.6,377.0
F4Hz.,H47.7,377.0
F4J..,H51.9,378.0
F4J0.,H50.0,378.1
F4J00,H50.0,378.1
F4J01,H50.0,378.1
F4J0z,H50.0,378.1
F4J1.,H50.1,378.1
F4J10,H50.1,378.1
F4J16,H50.1,378.1
F4J1z,H50.1,378.1
F4J21,H50.3,378.1
F4J3.,H50.4,378.1
F4J31,H50.2,378.1
F4J32,H50.2,378.1
F4J33,H50.2,378.1
F4J34,H50.2,378.1
F4J3z,H50.4,378.1
F4J41,H50.5,378.1
F4J42,H50.5,378.1
F4J45,H50.5,378.1
F4J51,H49.0,378.5
F4J52,H49.0,378.5
F4J53,H49.1,378.5
F4J54,H49.2,378.5
F4J55,H49.8,378.5
F4J70,H50.8,378.0
F4Jy.,H51.8,378.0
F4Jy2,H51.1,378.0
F4Jy7,H51.2,378.0
F4Jy9,H51.8,378.0
F4Jz.,H50.9,378.1
F4K00,H15.0,379.1
F4K02,H15.1,379.1
F4K03,H15.0,379.1
F4K05,H16.8,370.0
F4K07,H15.0,379.1
F4K08,H15.0,379.1
F4K0z,H15.9,379.0
F4K1.,H15.8,379.0
F4K15,H15.8,379.0
F4K1z,H15.9,379.0
F4K2.,H43,379.2
F4K21,H43.8,379.2
F4K23,H43.8,379.2
F4K24,H43.2,379.2
F4K26,H43.8,379.2
F4K28,H43.1,379.2
F4K29,H43.3,379.2
F4K2A,H43.3,379.2
F4K2C,H43.0,379.2
F4K2E,H43.8,379.2
F4K2z,H43.9,379.2
F4K3.,H27,379.3
F4K30,H27.0,379.3
F4K31,H27.1,379.3
F4K33,H27.1,379.3
F4K34,H26.4,366.0
F4K4.,H57.0,379.4
F4K41,H57.0,379.4
F4K42,H57.0,379.4
F4K43,H57.0,379.4
F4K46,H57.0,379.4
F4K5.,H55,378.2
F4K50,H55,378.2
F4K51,H55,378.2
F4K52,H55,378.2
F4K5z,H55,378.2
F4Ky.,H57.9,379.0
F4Kz.,H57.9,379.0
F4Kz0,H57.9,379.0
F4Kz1,H57.1,379.9
F4Kz2,H57.8,379.0
F4Kz3,H57.8,379.0
F4Kz4,H57.8,379.0
F4Kz5,H57.8,379.0
F4Kzz,H57.8,379.0
F4y..,H57.8,379.0
F4z..,H57.9,379.0
F5...,H95.9,388.0
F500.,H61.0,380.0
F5001,H61.0,380.0
F5002,H61.0,380.0
F5003,H61.0,380.0
F500z,H61.0,380.0
F501.,H60.3,380.1
F5010,H60.3,380.1
F5011,H60.3,380.1
F5012,H60.3,380.1
F5013,H60.3,380.1
F5018,H60.0,380.1
F5018,H60.0,686.1
F5019,H60.3,380.1
F501E,H60.3,380.1
F501F,H60.3,380.1
F501y,H60.3,380.1
F501z,H60.3,380.1
F502.,H60.8,380.1
F5020,H60.4,385.3
F5023,H60.5,380.1
F5024,H60.5,380.1
F5026,H60.5,380.1
F5027,H60.8,380.1
F502z,H60.9,380.1
F503.,H61.1,380.0
F5030,H61.1,380.0
F5031,S00.4,915.0
F5032,H61.1,380.0
F5033,H61.1,380.0
F503z,H61.1,380.0
F504.,H61.2,380.4
F505.,H61.3,380.0
F5050,H61.3,380.0
F506.,H60.0,380.1
F506.,H60.0,686.1
F50y.,H61.8,380.0
F50y0,H61.8,380.0
F50yz,H61.8,380.0
F50z.,H61.9,380.0
F510.,H65.1,381.1
F5100,H65.1,381.1
F5101,H65.0,381.1
F5102,H65.1,381.1
F510z,H65.1,381.1
F511.,H65.2,381.1
F5110,H65.2,381.1
F5111,H65.2,381.1
F5112,H65.2,381.1
F5113,H65.2,381.1
F511z,H65.2,381.1
F512.,H65.3,381.1
F5120,H65.3,381.1
F512z,H65.3,381.1
F5130,H65.4,381.1
F513z,H65.4,381.1
F514.,H65.9,381.1
F5140,H65.9,381.1
F5141,H65.9,381.1
F5142,H65.9,381.1
F514z,H65.9,381.1
F515.,H68.0,381.2
F5150,H68.0,381.2
F515z,H68.0,381.2
F516.,H68.1,381.2
F5160,H68.1,381.2
F516z,H68.1,381.2
F517.,H69.0,381.2
F518.,H65.4,381.1
F51y.,H69.8,381.2
F51y0,H69.9,381.2
F51yz,H69.9,381.2
F51z.,H69.9,381.2
F52..,H66.4,381.11
F520.,H66.0,381.11
F5200,H66.0,381.11
F520z,H66.0,381.11
F521.,H66.1,381.11
F522.,H66.2,381.11
F523.,H66.3,381.11
F524.,H66.4,381.11
F5240,H66.4,381.11
F525.,H66.9,381.11
F526.,H66.9,381.11
F527.,H66.9,381.11
F528.,H66.9,381.11
F52z.,H66.9,381.11
F53..,H70,381.3
F530.,H70.0,381.3
F5300,H70.0,381.3
F531.,H70.1,381.3
F5332,H95.0,385.3
F533z,H95.9,388.0
F53y.,H70.8,381.3
F53y1,H70.8,381.3
F53z.,H70.9,381.3
F54..,H73.8,384.0
F540.,H73.0,384.1
F5401,H73.0,384.1
F5402,H73.0,384.1
F540z,H73.0,384.1
F541.,H73.1,384.1
F542.,H72.9,384.4
F5420,H72.9,384.4
F5421,H72.0,384.4
F5422,H72.1,384.4
F5423,H72.2,384.4
F5424,H72.8,384.4
F542z,H72.9,384.4
F543.,H73.8,384.0
F54y.,H73,384.0
F54y0,H73.8,384.0
F54y1,H73.8,384.0
F54y3,H73.8,384.0
F54z.,H73.9,384.0
F55..,H74,385.0
F550.,H74.0,385.5
F5500,H74.0,385.5
F5501,H74.0,385.5
F550z,H74.0,385.5
F551.,H74.1,385.5
F5522,H74.2,385.5
F5530,H71,385.3
F5531,H71,385.3
F5532,H71,385.3
F5533,H71,385.3
F5535,H74.4,385.3
F553z,H71,385.3
F55z.,H74.9,385.0
F56..,H81,386.0
F560.,H81.0,386.1
F5600,H81.0,386.1
F5602,H81.0,386.1
F5603,H81.0,386.1
F560z,H81.0,386.1
F561.,H81.3,386.2
F5610,H81.3,386.2
F5611,H81.1,386.2
F5612,H81.2,386.2
F5612,H81.2,79.0
F5613,H81.2,386.2
F5613,H81.2,79.0
F5614,H81.3,386.2
F5615,H81.1,386.2
F561z,H81.3,386.2
F562.,H81.4,386.21
F563.,H83.0,386.3
F5630,H83.0,386.3
F5633,H83.0,386.3
F5635,H83.0,386.3
F563z,H83.0,386.3
F565.,H83.2,386.3
F5650,H83.2,386.3
F565z,H83.2,386.3
F56X.,H81.9,386.0
F56z.,H83.9,386.0
F57..,H80.9,383.0
F572.,H80.2,383.0
F57z.,H80.9,383.0
F58..,H95.9,388.0
F5801,H91.1,389.3
F5802,H93.0,389.3
F581.,H83.3,389.3
F5811,H83.3,389.3
F5812,H83.3,389.3
F582.,H91.2,389.0
F583.,H93.1,389.4
F5830,H93.1,389.4
F5831,H93.1,389.4
F583z,H93.1,389.4
F584.,H93.2,389.5
F5842,H93.2,389.5
F5843,H93.2,389.5
F5850,H93.3,389.5
F586.,H92.1,381.9
F5860,H92.1,381.9
F5862,H92.2,381.9
F587.,H92.0,382.0
F5870,H92.0,382.0
F5871,H92.0,382.0
F5872,H92.0,382.0
F587z,H92.0,382.0
F58z.,H93.9,388.0
F59..,H91.9,389.0
F590.,H90.2,389.2
F5900,H90.2,389.2
F5902,H90.2,389.2
F5903,H90.2,389.2
F5905,H90.0,389.2
F5906,H90.1,389.2
F590z,H90.2,389.2
F591.,H90.5,389.1
F5910,H90.5,389.1
F5911,H90.5,389.1
F5912,H90.5,389.1
F5913,H90.5,389.1
F5914,H90.5,389.1
F5916,H90.3,389.1
F5917,H90.4,389.1
F591C,H90.5,389.1
F591D,H90.5,389.1
F591y,H90.5,389.1
F591z,H90.5,389.1
F592.,H90.8,389.0
F5921,H90.6,389.0
F593.,H91.3,389.0
F594.,H91.9,389.0
F595.,H91.9,389.0
F596.,H91.9,389.0
F597.,H91.9,389.0
F598.,H91.9,389.0
F59A.,H91.9,389.0
F59y.,H91.8,389.0
F59z.,H91.9,389.0
F5A..,H91.9,389.0
F5z..,H95.9,388.0
Fy0..,G47,327.0
Fy00.,G47.0,327.41
Fy01.,G47.1,291.8
Fy02.,G47.2,327.6
Fy03.,G47.3,327.3
Fy04.,G47.3,327.3
Fyu04,G03.8,1011.0
Fyu06,G04.8,323.8
Fyu06,G04.8,323.0
Fyu21,G21.8,349.0
Fyu23,G23.8,333.8
Fyu26,G25.5,333.3
Fyu29,G21.9,349.0
Fyu4.,G37.9,341.0
Fyu41,G37.8,341.0
Fyu51,G40.8,345.1
Fyu53,G43.8,340.0
Fyu54,G44.8,339.0
Fyu58,G47.8,327.0
Fyu5C,G44.8,339.0
Fyu5D,G44.8,339.0
Fyu5E,G44.8,339.0
Fyu5F,G44.8,339.0
Fyu5G,G44.8,339.0
Fyu5H,G44.8,339.0
Fyu60,G50.8,352.1
Fyu6A,G56.8,351.0
Fyu6E,G58.8,351.0
Fyu7B,G61.9,357.0
Fyu7C,G62.9,357.0
Fyu82,G72.8,359.2
FyuA1,G91.8,331.1
FyuB7,H04.1,375.0
FyuC0,H10.2,369.5
FyuC1,H10.8,369.5
FyuC2,H11.4,372.0
FyuD2,H16.8,370.0
FyuD4,H17.8,364.1
FyuF0,H30.8,371.1
FyuF1,H31.8,363.0
FyuF4,H33.5,361.0
FyuF5,H34.2,362.4
FyuH0,H43.3,379.2
FyuL1,H53.8,368.0
FyuM.,H59.9,1011.0
FyuN1,H60.8,380.1
FyuQ1,H81.3,386.2
FyuQ4,H81.9,386.0
FyuU1,H91.8,389.0
G0...,I00,41.21
G01..,I01.9,394.4
G01y.,I01.8,394.4
G01z.,I01.9,394.4
G02..,I02.9,41.21
G0z..,I00,41.21
G1...,I09.9,394.4
G11..,I05,394.2
G110.,I05.0,394.2
G111.,I05.1,394.2
G112.,I05.2,394.2
G11z.,I05.9,394.2
G12..,I06.9,394.0
G120.,I06.0,394.3
G121.,I06.1,394.3
G12z.,I06.9,394.0
G13..,I08.0,394.0
G130.,I08.0,394.0
G131.,I08.0,394.0
G132.,I08.0,394.0
G133.,I08.0,394.0
G13z.,I08.0,394.0
G140.,I07.8,394.7
G1401,I07.1,394.7
G1404,I07.1,394.7
G1y..,I09.9,394.4
G1yz0,I09.9,394.4
G2...,I10,401.1
G20..,I10,401.1
G200.,I10,401.1
G201.,I10,401.1
G202.,I10,401.1
G203.,I10,401.1
G20z.,I10,401.1
G21..,I11.9,401.21
G211.,I11.9,401.21
G21z0,I11.9,401.21
G21zz,I11.9,401.21
G22..,I12.9,401.22
G220.,I12.9,401.22
G221.,I12.9,401.22
G22z.,I12.9,401.22
G24..,I15.9,401.3
G240.,I15.9,401.3
G241.,I15.9,401.3
G2410,I15.0,401.3
G24z.,I15.9,401.3
G24z0,I15.0,401.3
G24z1,I15.8,401.3
G24zz,I15.9,401.3
G25..,I10,401.1
G250.,I10,401.1
G26..,I10,401.1
G28..,I10,401.1
G2y..,I10,401.1
G2z..,I10,401.1
G3...,I25.9,411.8
G30..,I21.9,411.2
G300.,I21.0,411.2
G301.,I21.0,411.2
G3011,I21.0,411.2
G301z,I21.0,411.2
G302.,I21.1,411.2
G303.,I21.1,411.2
G304.,I21.2,411.2
G305.,I21.2,411.2
G306.,I21.2,411.2
G307.,I21.4,411.2
G3070,I21.4,411.2
G3071,I21.4,411.2
G308.,I21.1,411.2
G309.,I21.3,411.2
G30A.,I21.9,411.2
G30X.,I21.3,411.2
G30X0,I21.9,411.2
G30yz,I21.1,411.2
G30z.,I21.9,411.2
G31..,I24,411.9
G310.,I24.1,411.2
G311.,I20.0,411.1
G3110,I24.0,411.4
G3111,I20.0,411.1
G3112,I20.0,411.1
G3113,I20.0,411.1
G3114,I20.0,411.1
G3115,I24.9,411.9
G311z,I20.0,411.1
G312.,I24.0,411.4
G31y.,I24.8,411.9
G31y0,I24.8,411.9
G31y3,I24.8,411.9
G32..,I25.2,411.2
G33..,I20,411.3
G330.,I20.0,411.1
G3300,I20.8,411.3
G331.,I20.1,411.3
G332.,I20.1,411.3
G33z.,I20.9,411.3
G33z3,I20.8,411.3
G33z4,I20.9,411.3
G33z6,I20.9,411.3
G33z7,I20.8,411.3
G33zz,I20.9,411.3
G34..,I25,411.8
G340.,I25.1,411.4
G3400,I25.1,411.4
G3401,I25.1,411.4
G341.,I25.3,411.41
G3410,I25.3,411.41
G342.,I25.0,440.0
G343.,I25.5,411.8
G34y1,I25.5,411.8
G34yz,I25.9,411.8
G34z.,I25.9,411.8
G34z0,I25.9,411.8
G35..,I22,411.2
G37..,I20.8,411.3
G38..,I21,411.2
G384.,I21.4,411.2
G39..,I20.8,411.3
G3y..,I25.8,411.8
G3z..,I25.9,411.8
G4...,I28.9,415.0
G400.,I26.0,415.11
G401.,I26.9,415.0
G4010,I26.9,415.0
G4011,I26.9,415.0
G402.,I26.9,415.0
G40z.,I26.0,415.11
G410.,I27.0,415.21
G41y.,I27.8,415.2
G41z.,I27.9,415.2
G42..,I28.8,415.0
G420.,I28.0,415.0
G42y.,I28.8,415.0
G42z.,I28.9,415.0
G50..,I30,420.21
G50z.,I30.8,420.21
G50z0,I30.9,420.21
G50z1,I30.0,420.21
G50zz,I30.9,420.21
G51..,I33.9,420.3
G510.,I33.0,420.3
G5100,I33.0,420.3
G5101,I33.0,420.3
G511z,I33.0,420.3
G51z.,I33.9,420.3
G51z0,I33.9,420.3
G52..,I40.9,420.1
G52y0,I40.9,420.1
G53..,I31,420.2
G532.,I31.1,420.22
G532z,I31.1,420.22
G533.,I31.3,420.2
G534.,I30.9,420.21
G536.,I31.3,420.2
G5360,I31.3,420.2
G53yz,I31.9,420.2
G53z.,I31.9,420.2
G540.,I34.0,394.2
G540.,I34.0,395.1
G5400,I34.0,394.2
G5400,I34.0,395.1
G5401,I34.0,394.2
G5401,I34.0,395.1
G5402,I34.1,411.41
G5402,I34.1,394.2
G5402,I34.1,395.1
G5403,I34.1,411.41
G5403,I34.1,394.2
G5403,I34.1,395.1
G540z,I34.9,395.1
G541.,I35,395.2
G5410,I35.1,394.3
G5411,I35.0,747.13
G5412,I35.1,394.3
G5413,I35.0,747.13
G5414,I35.2,394.3
G5415,I35.0,747.13
G5416,I35.8,394.3
G5417,I35.8,394.3
G541z,I35.9,395.2
G541z,I35.9,394.3
G542.,I36,395.3
G5420,I36.1,395.3
G542z,I36,395.3
G543.,I37,395.4
G5430,I37.1,395.4
G5431,I37.0,395.4
G5432,I37.1,395.4
G5433,I37.0,395.4
G543z,I37.9,395.4
G544.,I08.9,420.3
G544.,I08.9,394.0
G5441,I08.1,394.7
G5441,I08.1,395.1
G5441,I08.1,394.2
G54z.,I38,420.3
G54z0,I38,420.3
G54z1,I38,420.3
G54z5,I38,420.3
G54zz,I38,420.3
G55..,I42.9,425.1
G551.,I42.1,425.11
G553.,I42.4,425.1
G554.,I42.8,425.1
G5540,I42.0,425.1
G5542,I42.8,425.1
G5543,I42.2,425.12
G5544,I42.0,425.1
G5545,I42.8,425.1
G554z,I42.9,425.1
G555.,I42.6,425.8
G559.,I42.8,425.1
G55A.,I42.8,425.1
G55y.,I42.9,425.1
G55z.,I42.9,425.1
G56..,I45.9,426.0
G560.,I44.2,426.24
G561.,I44.3,426.2
G5611,I44.0,426.21
G5612,I44.1,426.23
G5613,I44.1,426.23
G5614,I44.1,426.23
G561z,I44.3,426.2
G562.,I44.6,426.3
G562.,I44.6,426.32
G5620,I44.4,426.32
G562z,I44.6,426.3
G562z,I44.6,426.32
G564.,I45.1,426.31
G565.,I45.4,426.3
G5650,I45.4,426.3
G5654,I45.3,426.3
G5655,I45.2,426.3
G565z,I45.4,426.3
G566.,I45.5,426.25
G5660,I45.5,426.25
G567.,I45.6,426.4
G5673,I45.6,426.4
G5674,I45.6,426.4
G56y.,I45.8,426.8
G56y0,I45.6,426.4
G56y5,I49.8,427.3
G56z.,I45.9,426.0
G56z0,I45.9,426.0
G56zz,I45.9,426.0
G57..,I49.9,427.5
G570.,I47.1,427.11
G5700,I47.1,427.11
G5701,I47.1,427.11
G5702,I47.1,427.11
G570z,I47.1,427.11
G571.,I47.2,427.12
G572.,I47.9,427.1
G5720,I47.9,427.1
G572z,I47.9,427.1
G573.,I48,427.2
G5730,I48,427.2
G5731,I48,427.2
G5732,I48,427.2
G5733,I48,427.2
G5734,I48,427.2
G5736,I48,427.2
G573z,I48,427.2
G574.,I49.0,427.41
G5740,I49.0,427.41
G575.,I46.9,427.42
G5750,I46.0,427.42
G576.,I49.4,427.6
G576.,I49.4,427.3
G5760,I49.4,427.6
G5760,I49.4,427.3
G5761,I49.4,427.6
G5761,I49.4,427.3
G5762,I49.3,427.6
G5763,I49.1,427.61
G5765,I49.3,427.6
G576z,I49.4,427.6
G576z,I49.4,427.3
G577.,I49.8,427.3
G57y.,I49.9,427.5
G57y0,R00.1,427.3
G57y1,R00.1,427.3
G57y2,I49.8,427.3
G57y3,I49.5,427.8
G57y4,I49.8,427.3
G57y6,I49.8,427.3
G57y7,R00.0,427.7
G57y9,I47.1,427.11
G57z.,I49.9,427.5
G58..,I50.9,428.2
G580.,I50.0,428.1
G5801,I50.0,428.1
G5802,I50.0,428.1
G5803,I50.0,428.1
G5804,I50.0,428.1
G581.,I50.1,428.2
G5810,I50.1,428.2
G583.,I50.9,428.2
G584.,I50.0,428.1
G58z.,I50.9,428.2
G5y..,I51.8,414.0
G5y0.,I51.4,420.1
G5y3.,I51.7,416.0
G5y30,I51.7,416.0
G5y31,I51.7,416.0
G5y33,I51.7,416.0
G5y34,I51.7,416.0
G5y35,I51.7,416.0
G5y36,I51.7,416.0
G5y3z,I51.7,416.0
G5y5.,I51.1,414.0
G5y9.,I51.0,411.2
G5yy6,I51.3,411.2
G5yy7,I51.3,411.2
G5yy9,I51.8,414.0
G5yyA,I51.8,414.0
G5yyC,I51.8,414.0
G5yyD,I51.8,414.0
G5yz.,I51.8,414.0
G5z..,I51.9,414.0
G6...,I67.9,433.0
G60..,I60.9,430.1
G600.,I60.7,430.1
G602.,I60.1,430.1
G604.,I60.3,430.1
G605.,I60.4,430.1
G60z.,I60.9,430.1
G61..,I61,430.2
G610.,I61.1,430.2
G611.,I61.0,430.2
G612.,I61.0,430.2
G613.,I61.4,430.2
G614.,I61.3,430.2
G617.,I61.5,430.2
G619.,I61.1,430.2
G61X.,I61.2,430.2
G61X0,I61.2,430.2
G61X1,I61.2,430.2
G61z.,I61.9,430.2
G62..,I62.9,430.0
G620.,I62.1,430.0
G621.,I62.0,430.3
G622.,I62.0,430.3
G623.,S06.5,818.0
G62z.,I62.9,430.0
G63..,I65,433.1
G630.,I65.1,433.1
G631.,I65.2,433.1
G632.,I65.0,433.1
G634.,I65.2,433.1
G63y0,I63.0,433.21
G63y1,I63.1,433.11
G64..,I66.9,433.2
G640.,I66.9,433.2
G6400,I63.3,433.21
G641.,I66.9,433.2
G6410,I63.4,433.21
G64z.,I63.9,433.2
G64z0,I63.9,433.2
G64z2,I63.9,433.2
G64z3,I63.9,433.2
G64z4,I63.9,433.2
G65..,G45.9,433.31
G650.,G45.0,433.31
G6510,G45.0,433.31
G652.,G45.8,433.31
G655.,G45.4,433.0
G656.,G45.0,433.31
G657.,G45.1,433.31
G65y.,G45.8,433.31
G65z.,G45.9,433.31
G65zz,G45.9,433.31
G66..,I64,433.21
G667.,I64,433.21
G668.,I64,433.21
G669.,I64,433.21
G671.,I67.8,433.3
G6710,I67.8,433.3
G6711,I67.8,433.3
G672.,I67.4,401.3
G673.,I67.1,433.5
G6731,I67.1,433.5
G6732,I72.0,442.8
G674.,I67.7,433.0
G676.,I67.6,433.2
G6760,I63.6,433.21
G6772,I66.2,433.2
G678.,I67.3,324.0
G679.,I67.2,433.12
G67z.,I67.8,433.3
G68..,I69.8,433.8
G682.,I69.2,433.8
G68W.,I69.8,433.8
G68X.,I69.4,433.8
G6W..,I63.2,433.2
G6W..,I63.2,433.11
G6X..,I63.5,433.21
G6X..,I63.5,433.2
G6z..,I67.9,433.0
G70..,I70,440.0
G700.,I70.0,440.9
G701.,I70.1,440.1
G702.,I70.2,440.2
G7020,I70.2,440.2
G703.,I70.1,440.1
G704.,I25.1,411.4
G70y.,I70.8,440.0
G70y0,I70.8,440.0
G70z.,I70.9,440.0
G71..,I71.9,442.1
G710.,I71.0,442.1
G712.,I71.2,442.1
G713.,I71.3,442.11
G714.,I71.4,442.11
G7142,I71.4,442.11
G719.,I71.1,442.1
G71A.,I71.2,442.1
G71z.,I71.9,442.1
G72..,I72,442.0
G721.,I72.2,442.8
G7210,I72.2,442.8
G722.,I72.3,442.2
G7220,I72.3,442.2
G7230,I72.4,442.3
G7231,I72.4,442.3
G7233,I72.4,442.3
G724.,I72.9,442.0
G72y0,I72.0,442.8
G72y2,I72.0,442.8
G72y5,I72.8,442.8
G72y7,I72.8,442.8
G72y8,I72.8,442.8
G72yA,I72.8,442.8
G72yz,I72.9,442.0
G72z.,I72.9,442.0
G73..,I73,443.8
G730.,I73.0,443.1
G7300,I73.0,443.1
G7301,I73.0,443.1
G730z,I73.0,443.1
G7310,I73.1,446.1
G732.,R02,791.0
G7320,R02,791.0
G7321,R02,791.0
G733.,I73.9,443.9
G734.,I73.9,443.9
G735.,T75.2,1015.0
G73y2,I73.8,443.8
G73y6,I73.8,443.8
G73y7,I73.8,443.8
G73y8,I73.8,443.8
G73yz,I73.8,443.8
G73z.,I73.9,443.9
G73z0,I73.9,443.9
G73z1,I73.9,443.9
G73zz,I73.9,443.9
G74..,I74.9,444.0
G740.,I74.0,444.2
G741.,I74.1,444.0
G7420,I74.2,444.0
G7424,I74.3,444.1
G7425,I74.3,444.1
G742z,I74.4,444.0
G74y.,I74.8,444.0
G74y0,I74.5,444.0
G74y1,I74.5,444.0
G74y5,I74.2,444.0
G74y7,I74.2,444.0
G74y9,I74.8,444.0
G74yz,I74.9,444.0
G74z.,I74.9,444.0
G75..,M30,446.0
G750.,M30.0,446.6
G7520,M31.0,446.3
G7521,M31.0,446.3
G752z,M31.0,446.3
G754.,M31.3,446.4
G755.,M31.6,446.5
G7550,M31.6,446.5
G7551,M31.6,446.5
G756.,M31.1,446.8
G7561,M31.1,446.8
G757.,M31.4,446.7
G758.,M30.1,446.4
G75X.,M31.9,447.0
G76..,I77,447.0
G760.,I77.0,447.0
G763.,I77.8,447.0
G766.,I77.6,446.9
G7681,I77.3,447.0
G76A.,I77.1,447.1
G76B.,I77.6,446.9
G76z.,I77.9,447.0
G76z0,I77.9,447.0
G76z1,I77.9,447.0
G76z2,I77.9,447.0
G77..,I78.9,448.0
G770.,I78.0,448.0
G771.,I78.1,217.1
G7710,I78.1,217.1
G7711,I78.1,217.1
G7712,I78.1,217.1
G7713,I78.1,217.1
G771z,I78.1,217.1
G77z.,I78.8,448.0
G77z3,I78.8,448.0
G77zz,I78.9,448.0
G78..,I77.8,447.0
G8...,I89.9,450.0
G80..,I80.9,451.0
G800.,I80.0,451.2
G8000,I80.0,451.2
G8001,I80.0,451.2
G8002,I80.0,451.2
G8003,I80.0,451.2
G8004,I80.0,451.2
G8005,I80.0,451.2
G800z,I80.0,451.2
G801.,I80.2,451.2
G8010,I80.1,451.2
G8011,I80.2,451.2
G8016,I80.1,451.2
G8017,I80.2,451.2
G801B,I80.2,451.2
G801C,I80.2,451.2
G801D,I80.2,451.2
G801G,I80.2,451.2
G801H,I80.2,451.2
G801z,I80.3,451.2
G802.,I80.3,451.2
G8020,I80.3,451.2
G80y.,I80.8,451.0
G80y4,I80.1,451.2
G80y9,I80.8,451.0
G80yz,I80.8,451.0
G80z.,I80.9,451.0
G80z0,I80.9,451.0
G80z1,I80.9,451.0
G80zz,I80.9,451.0
G81..,I81,452.0
G82..,I82.8,452.0
G820.,I82.0,452.0
G821.,I82.1,452.0
G824.,I82.8,452.0
G825.,I82.8,452.0
G82y.,I82.8,452.0
G82z.,I82.9,452.0
G82z0,I82.9,452.0
G82z1,I82.9,452.0
G82zz,I82.9,452.0
G83..,I83,454.1
G830.,I83.0,454.11
G831.,I83.1,454.11
G832.,I83.2,454.11
G833.,I83.0,454.11
G834.,I83.9,454.1
G8340,I83.9,454.1
G8341,I83.9,454.1
G835.,I83.2,454.11
G836.,I83.1,454.11
G837.,I83.0,454.11
G83z.,I83.9,454.1
G85..,I86,454.0
G850.,I85.0,530.2
G851.,I85.9,530.2
G854.,I86.1,454.0
G856.,I86.3,454.0
G857.,I86.4,454.0
G858.,I85.9,530.2
G85y.,I86.8,454.0
G85z.,I86.8,454.0
G86..,I89.9,450.0
G860.,I97.2,450.0
G861.,I89.0,450.0
G8611,I89.0,450.0
G8612,I89.0,450.0
G8613,I89.0,450.0
G861z,I89.0,450.0
G862.,I89.1,450.0
G8620,I89.1,450.0
G86y2,I89.8,450.0
G86z.,I89.9,450.0
G87..,I95.9,458.9
G870.,I95.1,458.1
G871.,I95.8,458.9
G872.,I95.0,458.9
G873.,I95.2,458.2
G87z.,I95.9,458.9
G8X..,I87.9,459.9
G8X0.,I87.8,459.9
G8y0.,R58,459.1
G8y1.,I87.0,452.8
G8y2.,I87.1,459.0
G8y22,I87.1,459.0
G8y3.,I87.8,459.9
G8y4.,I87.0,452.8
G8y6.,I87.1,459.0
G8yy0,I87.2,456.0
G8yy4,I87.8,459.9
G8yy5,I87.8,459.9
G8yyz,I99,459.9
G8yz.,I99,459.9
G9...,I70.9,440.0
Gyu0.,I02.9,41.21
Gyu2.,I15.9,401.3
Gyu3.,I25.9,411.8
Gyu30,I20.8,411.3
Gyu5G,I40.9,420.1
Gyu5M,I42.2,425.12
Gyu5a,I49.8,427.3
Gyu63,I63.5,433.21
Gyu63,I63.5,433.2
Gyu64,I63.8,433.21
Gyu66,I66.8,433.2
Gyu6F,I61.2,430.2
Gyu73,I72.8,442.8
Gz...,I99,459.9
H00..,J00,465.0
H01..,J01,464.0
H010.,J01.0,464.0
H011.,J01.1,464.0
H012.,J01.2,464.0
H014.,J01.9,464.0
H01y.,J01.8,464.0
H01y0,J01.4,464.0
H01yz,J01.8,464.0
H01z.,J01.9,464.0
H02..,J02,465.2
H021.,J02.9,465.2
H022.,J02.9,465.2
H023z,J02.9,465.2
H024.,J02.8,465.2
H025.,J02.9,465.2
H02z.,J02.9,465.2
H03..,J03,474.1
H030.,J03.9,474.1
H031.,J03.9,474.1
H032.,J03.9,474.1
H033.,J03.9,474.1
H035z,J03.8,474.1
H036.,J03.9,474.1
H037.,J03.9,474.1
H03z.,J03.9,474.1
H04..,J04,465.4
H040.,J04.0,465.4
H0400,J04.0,465.4
H0401,J04.0,465.4
H0402,J04.0,465.4
H0403,J04.0,465.4
H040w,J04.0,465.4
H040x,J04.0,465.4
H040z,J04.0,465.4
H041.,J04.1,465.4
H0410,J04.1,465.4
H041z,J04.1,465.4
H042.,J04.2,465.4
H0420,J04.2,465.4
H042z,J04.2,465.4
H043.,J05.1,465.0
H0430,J05.1,465.0
H0431,J05.1,465.0
H0432,J05.0,483.0
H043z,J05.1,465.0
H044.,J05.0,483.0
H04z.,J04.2,465.4
H05..,J06.8,465.0
H050.,J06.0,465.0
H051.,J06.9,465.0
H052.,J06.8,465.0
H053.,J06.8,465.0
H054.,J06.9,465.0
H055.,J06.0,465.0
H05y.,J06.8,465.0
H05z.,J06.9,465.0
H06..,J21.9,483.0
H060.,J20,483.0
H0603,J20.9,483.0
H0604,J20.9,483.0
H0605,J20.9,483.0
H0608,J20.1,41.0
H0608,J20.1,483.0
H0609,J20.8,483.0
H060A,J20.0,41.0
H060C,J20.4,79.0
H060C,J20.4,483.0
H060w,J20.9,483.0
H060x,J20.8,483.0
H060z,J20.9,483.0
H061.,J21,483.0
H0611,J21.9,483.0
H0612,J21.9,483.0
H0615,J21.0,483.0
H061z,J21.9,483.0
H062.,J22,519.8
H06z0,J22,519.8
H06z1,J22,519.8
H06z2,J22,519.8
H07..,J00,465.0
H0z..,J22,519.8
H1...,J39.9,479.0
