read2_code,icd10_code,phecode
A707.,B18.9,70.0
A7070,B18.0,70.2
A7072,B18.2,70.3
A7073,B18.1,70.2
A707X,B18.9,70.0
A709.,B19.9,70.0
A70C.,B18.2,70.3
A70D.,B18.2,70.3
A70z.,B19.9,70.0
A70z0,B18.2,70.3
A72..,B26.9,79.0
A72z.,B26.9,79.0
A73..,A70,79.0
A74..,B97.1,79.0
A740.,B08.5,79.0
A741.,B33.0,79.0
A743.,B08.4,79.0
A75..,B27.9,79.2
A751.,B27.1,79.2
A76..,A71.9,369.0
A761.,A71.1,369.0
A77X.,B30.9,369.2
A77z.,B30.9,369.2
A780.,B08.1,79.0
A781.,B07,78.0
A7810,B07,78.0
A7811,B07,78.0
A7812,A63.0,78.0
A7813,A63.0,78.0
A7814,B07,78.0
A7815,B07,78.0
A7816,B07,78.0
A7817,A63.0,78.0
A781z,B07,78.0
A782.,B34.8,79.0
A784.,B08.8,79.0
A785.,B25.9,79.0
A785X,B25.9,79.0
A788.,B24,71.1
A788z,B24,71.1
A78A0,A56.0,90.3
A78A5,A56.2,90.3
A78y2,B33.0,79.0
A79..,B33.8,79.0
A790.,B34.0,79.0
A791.,B34.1,79.0
A792.,B34.1,79.0
A793.,B34.8,79.0
A796.,B34.3,79.0
A798.,B33.3,79.0
A799.,B25.9,79.0
A79A.,B97.4,79.0
A79B.,B34.4,79.0
A79X.,B34.1,79.0
A79y.,B33.8,79.0
A79z.,B34.9,79.0
A7y05,B97.7,79.0
A81..,A75.9,136.0
A82..,A77.9,136.0
A8210,A77.1,136.0
A82z.,A77.9,136.0
A830.,A78,480.1
A832.,A79.1,136.0
A84..,B54,133.0
A840.,B50.9,133.0
A841.,B51.9,133.0
A841X,B51.9,133.0
A844.,B53.8,133.0
A846.,B54,133.0
A84X.,B50.9,133.0
A8510,B55.1,133.0
A852.,B55.1,133.0
A854.,B55.1,133.0
A8710,A69.2,130.1
A90..,A50.9,90.0
A900.,A50.0,90.0
A910.,A51.0,90.0
A912.,A51.2,90.0
A92..,A51.5,90.0
A94..,A52.3,90.0
A940.,A52.1,90.0
A94z.,A52.3,90.0
A96..,A52.8,90.0
A97..,A53.9,90.0
A97z.,A53.9,90.0
A98..,A54.9,90.2
A980.,A54.0,90.2
A9801,A54.0,90.2
A980z,A54.0,90.2
A9815,A54.0,90.2
A9820,A54.1,90.2
A9822,A54.0,90.2
A9831,A54.0,90.2
A9835,A54.0,90.2
A98z.,A54.9,90.2
A991.,A55,90.0
A992.,A58,90.0
A993.,M02.3,711.2
A994.,N34.1,90.0
A995.,N34.1,90.0
AA...,A69.9,130.0
AA0..,A27.9,130.0
AA00.,A27.0,130.0
AA1..,A69.1,130.0
AA10.,A69.1,130.0
AA11.,A69.1,130.0
AA12.,A69.1,130.0
AA1z.,A69.1,130.0
AA23.,A66.3,130.0
AA24.,A66.4,130.0
AA41.,A69.2,130.1
AAz..,A69.9,130.0
AB0..,B35.9,110.1
AB00.,B35.0,110.1
AB000,B35.0,110.1
AB001,B35.0,110.1
AB01.,B35.1,110.11
AB02.,B35.2,110.1
AB03.,B35.6,110.13
AB030,B35.6,110.13
AB031,B35.6,110.13
AB03z,B35.6,110.13
AB04.,B35.3,110.12
AB05.,B35.4,110.13
AB06.,B35.8,110.1
