ctv3_code,icd10_code,phecode
A7813,A63.0,078
A781z,B07,078
A782.,B34.8,079
A783.,A28.1,079
A784.,B08.8,079
A788.,B24,071.1
A7880,B23.0,071.1
A7880,B23.0,079
A7880,B23.0,136
A7892,B20.4,071.1
A7892,B20.4,112
A7893,B20.6,480.3
A7893,B20.6,071.1
A7895,B21.0,230
A78A.,A74.9,079
A78A0,A56.0,090.3
A78y1,A08.1,008.6
A78y2,B33.0,079
A79..,B33.8,079
A796.,B34.3,079
A798.,B33.3,079
A79z.,B34.9,079
A7y01,B97.3,079
A81..,A75.9,136
A82..,A77.9,136
A820z,A77.9,136
A8220,A77.2,136
A830.,A78,480.1
A84..,B54,133
A840.,B50.9,133
A841.,B51.9,133
A843.,B53.0,133
A845.,B53.8,133
A846.,B54,133
A849.,B54,133
A85z.,B55.9,133
A86..,B56.9,133
A871.,A68.1,130
A8710,A69.2,130.1
A90..,A50.9,090
A900.,A50.0,090
A901.,A50.1,090
A904.,A50.4,090
A907.,A50.7,090
A910.,A51.0,090
A914.,A51.4,090
A918.,A51.4,090
A919.,A51.4,090
A94..,A52.3,090
A94z.,A52.3,090
A96..,A52.8,090
A971.,A53.0,090
A97z.,A53.9,090
A98..,A54.9,090.2
A980.,A54.0,090.2
A9800,A54.1,090.2
A9801,A54.0,090.2
A9802,A54.0,090.2
A980z,A54.0,090.2
A9815,A54.0,090.2
A9835,A54.0,090.2
A984.,A54.3,090.2
A98z.,A54.9,090.2
A991.,A55,090
A993.,M02.3,711.2
A994.,N34.1,090
AA0..,A27.9,130
AA0z.,A27.9,130
AA1..,A69.1,130
AA12.,A69.1,130
AA2..,A66.9,130
AA22.,A66.2,130
AA24.,A66.4,130
AA25.,A66.5,130
AA31.,A67.1,130
AA4z.,A69.9,130
AAz..,A69.9,130
AB...,B49,117
AB0..,B35.9,110.1
AB00.,B35.0,110.1
AB000,B35.0,110.1
AB001,B35.0,110.1
AB00z,B35.0,110.1
AB01.,B35.1,110.11
AB02.,B35.2,110.1
AB03.,B35.6,110.13
AB030,B35.6,110.13
AB031,B35.6,110.13
AB03z,B35.6,110.13
AB05.,B35.4,110.13
AB06.,B35.8,110.1
AB0y.,B35.8,110.1
AB0z.,B35.9,110.1
AB1..,B35.9,110.1
AB10.,B36.0,110.2
AB12.,B36.2,110.2
AB1y.,B36.8,110.2
AB1z.,B36.9,110.1
AB2..,B37.9,112
AB200,B37.0,112
AB201,B37.8,112
AB20z,B37.0,112
AB22.,B37.4,112
AB221,B37.8,112
AB22z,B37.4,112
AB23.,B37.2,112.3
AB230,B37.2,112.3
AB231,B37.2,112.3
AB232,B37.2,112.3
AB233,B37.2,112.3
AB23z,B37.2,112.3
AB2y.,B37.8,112
AB2y3,B37.7,112
AB2yz,B37.8,112
AB2z.,B37.9,112
AB4..,B39.9,117.1
AB52.,B48.0,117.3
AB6..,B48.8,117
AB61.,B42.9,117
AB63.,B44.9,117.4
AB640,B47.1,041
AB671,B46.1,117
AB6z.,B48.8,117
ABz..,B49,117
AC...,B83.9,134
AC0..,B65.9,134
AC0y.,B65.8,134
AC0z.,B65.9,134
AC2..,B67.9,134.1
AC2z.,B67.9,134.1
AC3..,B71.9,134.1
AC31.,B69.9,134.1
AC311,B69.1,134.1
AC33.,B68.9,134.1
AC50.,B74.0,134
AC53.,B73,134
AC5z.,B74.9,134
AC7..,B81.8,134.1
AC70.,B77.9,134.1
AC72.,B78.9,134.1
AC73.,B79,134.1
AC75.,B81.1,134.1
AC7z.,B82.0,134.1
AC8z.,B83.9,134
AD0..,B58.9,131
AD0x.,B58.8,131
AD0z.,B58.9,131
AD1..,A59.9,131
AD10.,A59.0,131
AD102,A59.0,131
AD10z,A59.0,131
AD1y.,A59.8,131
AD1z.,A59.9,131
AD3..,B88.0,132
AD30.,B86,132
AD3y.,B88.0,132
AD3z.,B88.0,132
AD4..,B88.9,132
AD40.,B87.9,132
AD41.,B88.2,132
AD42.,B88.3,136
AD4z.,B88.9,132
AD5..,D86.9,697
AD52.,D86.2,697
AD6..,B88.9,132
AD60.,L94.6,136
AD61.,M35.2,711.3
AD6z.,B99,136
AE...,B94.9,136
AE00.,B90.9,010
AE1..,B91,324
AE21.,B94.0,369
Ayu02,A02.8,008.5
Ayu03,A02.9,008.5
Ayu05,A03.9,008.5
Ayu0E,A08.3,008.6
Ayu0F,A08.4,008.6
Ayu2C,A26.9,041
Ayu32,A31.8,031
Ayu33,A31.9,031
Ayu36,A35,041
Ayu38,A36.9,041
Ayu3A,A37.9,041
Ayu3E,A40.8,038.1
Ayu3F,A40.9,038.1
Ayu3J,A41.9,994.2
Ayu3J,A41.9,038
Ayu3L,A42.9,041
Ayu3S,A49.0,041.1
Ayu3T,A49.1,041.2
Ayu3U,A49.2,041
Ayu3W,A49.8,041
Ayu45,A51.4,090
Ayu46,A51.9,090
Ayu4A,A53.9,090
Ayu4C,A54.9,090.2
Ayu4F,A59.9,131
Ayu4G,A60.9,054
Ayu4J,A64,090
Ayu57,A69.9,130
Ayu62,A74.9,079
Ayu81,A80.9,324
Ayu84,A82.9,079
Ayu8A,A85.8,323
Ayu8B,A86,323
Ayu8C,A87.8,320
Ayu8D,A87.9,320
AyuA0,B00.8,079
AyuA0,B00.8,054
AyuA1,B00.9,054
AyuA3,B01.9,079.1
AyuA4,B02.8,053
AyuA5,B02.9,053
AyuA6,B05.8,079
AyuA7,B05.9,079
AyuAD,B08.8,079
AyuB0,B17.8,070
AyuCC,B23.8,071.1
AyuD1,B25.9,079
AyuD2,B26.8,079
AyuD3,B26.9,079
AyuD5,B27.9,079.2
AyuD7,B30.9,369.2
AyuD9,B33.8,079
AyuDB,B34.1,079
AyuDC,B34.2,079
AyuDD,B34.3,079
AyuDF,B34.8,079
AyuDG,B34.9,079
AyuE0,B35.8,110.1
AyuE1,B35.9,110.1
AyuE3,B36.9,110.1
AyuE4,B37.8,112
AyuE5,B37.9,112
AyuEL,B44.9,117.4
AyuER,B47.9,041
AyuES,B49,117
AyuF1,B50.9,133
AyuF2,B51.8,133
AyuF3,B51.9,133
AyuF5,B52.9,133
AyuFB,B58.8,131
AyuFC,B58.9,131
AyuG0,B65.8,134
AyuG1,B65.9,134
AyuG6,B68.9,134.1
AyuGE,B76.9,134
AyuGG,B77.9,134.1
AyuGL,B82.9,134
AyuH0,B85.2,132.1
AyuH4,B88.2,132
AyuK0,B95.0,041.2
AyuK1,B95.1,041.2
AyuK3,B95.3,041.2
AyuK4,B95.4,041.2
AyuK6,B95.6,041.1
AyuK9,B96.0,480.1
AyuKB,B96.2,041.4
AyuKC,B96.3,041
AyuL0,B99,136
Az...,B99,136
B0000,C00.0,145.1
B01..,C02.9,145.2
